"Id";"Bid";"Title";"Author";"LB";"Year";"Consultation";"General_category";"Keywords";"Typology";"Periods"
26134;"PUV1034930";"Venezia in tempo di guerra : 1943-1945";"Bobbo, Giulio";True;2005;True;"history";"war";"";"recent"
31737;"PUV1053949";"Venezia in guerra : le grandi battaglie della Serenissima";"Moro, Federico";True;2005;True;"history";"war";"";""
21350;"PUV1057796";"Il Convento della carità e Andrea Palladio : storie, progetti, immagini";"Modesti, Paola";True;2005;False;"architecture";"churches; individuals";"";"renaissance"
31924;"PUV1060835";"I patti con il patriarcato di Aquileia, 880-1255";"Venezia";True;2005;True;"history";"politics";"primary";"middle ages"
29920;"PUV1071138";"Tra fatto e diritto : avvocati e causidici a Venezia nell'età moderna";"Gasparini, Silvia";True;2005;True;"history";"social; government";"";"renaissance; xvii; xviii"
31165;"PUV1091206";"Treviso e Venezia nel Trecento : la prima dominazione veneziana sulle podesterie minori (1339-1381)";"Pigozzo, Federico";True;2007;False;"history";"mainland";"";"middle ages"
17855;"PUV1097055";"L'Eubea veneziana";"Borsari, Silvano";True;2007;True;"history";"empire";"";"middle ages"
17418;"PUV1097638";"Inselstadt Venedig : Umweltgeschichte eines Mythos in der Fruhen Neuzeit";"Mathieu, Christian";True;2007;False;"architecture";"lagoon";"";"renaissance; xvii; xviii; xix; recent"
7078;"PUV1118926";"Diario veneto politico di Emmanuele Antonio Cicogna";"Cicogna, Emmanuele Antonio";True;2008;False;"history";"politics";"primary";"xix"
929;"PUV1136637";"Alunni, maestri e scuole in Venezia alla fine del 16. secolo";"Baldo, Vittorio";True;1977;False;"history";"social";"";"renaissance"
3796;"PUV1139586";"Famille, genre, transmission à Venise au 16. siècle";"Bellavitis, Anna";True;2008;False;"history";"social; family; gender";"";"renaissance"
28291;"PUV1148126";"La battaglia di Agnadello : Ghiaradadda, 14 maggio 1509";"Meschini, Marco";True;2009;False;"history";"war; politics";"";"renaissance"
37290;"PUV1158259";"Il patto con Geoffroy de Villehardouin per il Peloponneso 1209";"Venezia";True;2009;True;"history";"politics";"";"middle ages"
18021;"PUV1158266";"Storia dello Studio teologico Laurentianum di Venezia nella strategia della formazione teologica della Provincia veneta dei Cappuccini";"Peratoner, Alberto";True;2009;False;"history";"religion; culture";"";"renaissance; xvii; xviii; xix; recent"
19785;"PUV1162053";"Da Padova a Venezia nel medioevo : terre mobili, confini, conflitti";"Simonetti, Remy";True;2009;False;"history";"urban; mainland";"";"middle ages"
614;"PUV1165971";"I vascelli della Serenissima : guerra, politica e costruzioni navali a Venezia in età moderna, 1650-1720";"Candiani, Guido";True;2009;True;"history";"maritime; war; politics";"";"xvii"
10711;"PUV1167545";"Sitibondo nel stampar de' libri : Niccolò Zoppino tra libro volgare, letteratura cortigiana e questione della lingua";"Severi, Luigi";True;2009;False;"history";"books; literature";"";"renaissance"
36124;"PUV1309331";"Mysterium Venedig : die Markusrepublik als politisches Argument in der Neuzeit";"Frohlich, Martin";True;2010;False;"history";"politics";"";"renaissance; xvii; xviii"
1498;"PUV1350816";"La rappresentazione di Venezia : Francesco Foscari";"Romano, Dennis";True;2012;False;"history";"individuals";"";"middle ages"
15645;"PUV1359325";"Giuseppe Pelizzari e quel sicuro mezzo dell'olio santo : un processo inquisitorio veneziano del 1682-83";"Sorrentino, Enrico";True;2012;False;"history";"social; religion";"";"xvii"
18763;"PUV1362808";"Crocifissi lignei a Venezia e nei territori della Serenissima, 1350-1500 : modelli, diffusione, restauro";"a cura di Elisabetta Francescutti, con la collaborazione di Carlo Corsato";True;2013;False;"arts";"crafts";"";"middle ages; renaissance"
35354;"PUV1364725";"Viaggi di Fiandra 1463-1464 e 1467-1468";"Foscari, Giovanni";True;2012;True;"history";"individuals";"primary";"renaissance"
6536;"PUV1381896";"Il doge di Venezia";"Ravegnani, Giorgio";True;2013;False;"history";"politics; government";"";""
24774;"PUV1389984";"Al servizio della Repubblica di Venezia : le Lettere di Massimiliano Buzzaccarini Gonzaga Commendatore di Malta inviate alla Magistratura dei Cinque Savii alla Mercanzia 1754-1776";"Mallia-Milanes, Victor";True;2014;True;"history";"individuals";"primary";"xviii"
15640;"RAV0002005";"Architettura e utopia nella Venezia del Cinquecento : Venezia, Palazzo Ducale, luglio-ottobre 1980";"";True;1980;False;"architecture";"palaces";"catalogue";"renaissance"
23297;"RAV0004079";"The genius of Venice, 1500-1600";"Royal Academy of Arts";True;1983;False;"arts";"painting";"catalogue";"renaissance"
17621;"RAV0006894";"Venezia e la difesa del Levante : da Lepanto a Candia 1570-1670";"";True;1986;False;"history";"empire; war";"catalogue";"renaissance; xvii"
30528;"RAV0023945";"La Libreria di San Marco : libri, lettori, società nella Venezia dei Dogi";"Zorzi, Marino";True;1987;True;"history";"books";"";""
8215;"RAV0024676";"Venezia e Bisanzio : Venezia, Palazzo ducale, 8 giugno-30 settembre 1974";"saggio introduttivo di Sergio Bettini";True;1974;False;"arts";"politics";"catalogue";"middle ages"
14621;"RAV0024678";"Da Tiziano a El Greco: per la storia del Manierismo a Venezia, 1540-1590 : Palazzo Ducale, settembre-dicembre 1981";"Pallucchini, Rodolfo";True;1981;False;"arts";"painting";"catalogue";"renaissance"
20668;"RAV0024686";"La pittura veneziana del Seicento";"Pallucchini, Rodolfo";True;1981;False;"arts";"painting";"";"xvii"
26857;"RAV0024688";"La pittura del Seicento a Venezia : catalogo della mostra";"";True;1959;False;"arts";"painting";"catalogue";"xvii"
31050;"RAV0024694";"Venezia nell'età di Canova, 1780-1830 : Venezia, Ala Napoleonica Museo Correr, ottobre-dicembre 1978";"catalogo a cura di Elena Bassi ... [et al.";True;1978;False;"arts";"culture";"catalogue";"xviii; xix"
7516;"RAV0034690";"Vetro e vetrai di Murano : studi sulla storia del vetro 1";"Luigi Zecchin";True;1987;False;"arts";"crafts";"";""
7908;"RAV0037033";"Capricci veneziani del Settecento";"catalogo della mostra a cura di Dario Succi";True;1988;False;"arts";"painting";"catalogue";"xviii"
5145;"RAV0039334";"Byzantium and Venice : a study in diplomatic and cultural relations";"Nicol, Donald M";True;1988;True;"history";"politics; culture";"";"middle ages"
21651;"RAV0040099";"Fanti e denari : sei secoli di giochi d'azzardo";"";True;1989;False;"history";"war; economics";"catalogue";""
33523;"RAV0049221";"Eraclea veneta : immagine di una citta sepolta";"Tozzi, Pierluigi";True;1984;True;"architecture";"archeology";"";""
24649;"RAV0050699";"Venezia gotica : l'architettura civile gotica veneziana";"Arslan, Edoardo";True;1970;False;"architecture";"";"";""
5794;"RAV0050980";"Catalogo della pinacoteca della Fondazione scientifica Querini Stampalia";"Fondazione scientifica Querini Stampalia";True;1979;False;"arts";"painting";"catalogue";""
35231;"RAV0051617";"Storia della ceramica a Venezia : dagli albori alla fine della Repubblica";"Alverà Bortolotto, Angelica";True;1981;False;"arts";"crafts";"";"middle ages; renaissance; xvii; xviii"
36396;"RAV0053533";"Mille anni di arte del vetro a Venezia : Venezia, Palazzo Ducale Museo Correr, 24 luglio-24 ottobre 1982";"catalogo a cura di Rosa Barovier Mentasti ... °et al";True;1982;False;"arts";"crafts";"catalogue";""
32544;"RAV0082263";"Giardini segreti a Venezia";"Berengo Gardin, Gianni";True;1988;False;"architecture";"urban";"";""
3410;"RAV0085562";"Venezia e la difesa della liberta repubblicana : i valori del Rinascimento nell'eta della Controriforma";"Bouwsma, William J";True;1977;False;"history";"intellectual; politics; religion";"";"renaissance"
6326;"RAV0108549";"Vetro e vetrai di Murano : studi sulla storia del vetro 2";"Luigi Zecchin";True;1989;False;"arts";"crafts";"";""
11179;"RAV0129033";"L'Arte dei pittori in Venezia e i suoi statuti";"Favaro, Elena";True;1975;True;"history";"social; guilds; painting";"primary";""
26933;"RAV0131555";"Bernardo Bellotto";"Kozakiewicz, Stefan";True;1972;False;"arts";"individuals; painting";"";"xviii"
13293;"RAV0145767";"Torcello : ricerche e contributi";"Vecchi, Maurizia";True;1979;False;"architecture";"urban";"";""
15742;"RAV0145939";"Carte da navigar : portolani e carte nautiche del museo Correr 1318-1732";"a cura di Susanna Biadene";True;1990;True;"arts";"cartography";"catalogue";"middle ages; renaissance; xvii; xviii"
5251;"RAV0148589";"Quando San Marco approdò a Venezia : il culto dell'evangelista e il miracolo politico della Repubblica di Venezia";"Lebe, Reinhard";True;1981;False;"history";"social; religion";"";""
1448;"RAV0149146";"La politica sociale della Repubblica di Venezia, 1500-1620";"Pullan, Brian";True;1982;True;"history";"social; government";"";"renaissance"
3077;"RAV0158613";"Canal Grande";"Zorzi, Alvise";True;1991;False;"history";"social";"";"xix"
30443;"RAV0165912";"La città degli ebrei : il ghetto di Venezia";"Concina, Ennio";True;1991;False;"architecture";"jews";"";"renaissance; xvii; xviii; xix"
14176;"RAV0173007";"Arti e mestieri a Venezia nel Medioevo e nel Rinascimento";"Brunello, Franco";True;1981;True;"arts";"crafts; guilds";"";"middle ages; renaissance"
29513;"RAV0187874";"Antonio Canova";"Canova, Antonio";True;1992;False;"arts";"individuals";"catalogue";"xviii"
31760;"RAV0188125";"Leonardo & Venezia";"";True;1992;False;"arts";"individuals";"catalogue";""
23450;"RAV0222195";"Politica e carriere ecclesiastiche nel secolo 17. : i vescovi veneti fra Roma e Venezia";"Menniti Ippolito, Antonio";True;1993;False;"history";"politics; religion";"";"xvii"
26728;"RAV0228502";"Patrizi e popolani : la societa veneziana nel Trecento";"Romano, Dennis";True;1993;False;"history";"social";"";"middle ages"
8855;"RAV0233192";"Venezia minore";"Trincanato, Egle Renata";True;1948;True;"architecture";"";"";""
23492;"RAV0247651";"Il tesoro di San Marco";"";True;1994;False;"arts";"jewelry";"";""
33247;"RAV0253911";"L'architettura veneziana del primo Rinascimento";"McAndrew, John";True;1995;False;"architecture";"";"";"renaissance"
36383;"RAV0341506";"Istoria Veneticorum";"Ioannes : Diaconus";True;1999;True;"history";"literature";"primary";"middle ages"
34959;"RAV0649226";"La Repubblica inquieta : Venezia nel Seicento tra Italia ed Europa";"Andretta, Stefano";True;2000;True;"history";"";"";"xvii"
12659;"RAV0701636";"Fondamenta dei vetrai : lavoro, tecnologia e mercato a Venezia tra Sei e Settecento";"Trivellato, Francesca";True;2000;False;"history";"crafts; guilds";"";"renaissance; xvii"
4375;"RAV1424684";"Bisanzio e Venezia";"Ravegnani, Giorgio";True;2006;True;"history";"politics";"";"middle ages"
5504;"RAV1874761";"Il collezionismo d'arte a Venezia";"";True;2009;False;"arts";"collecting";"";"xviii"
33482;"REA0034552";"I tempi di Giorgione";"a cura di Ruggero Maschio";True;1994;False;"arts";"individuals; painting";"";"renaissance"
21849;"REA0034965";"Splendori del Settecento veneziano";"";True;1995;False;"arts";"painting";"catalogue";"xviii"
21644;"REA0043643";"Il merletto veneziano";"Davanzo Poli, Doretta";True;1998;False;"arts";"crafts";"";""
1347;"REA0048673";"San Rocco nell'arte: un pellegrino sulla via Francigena";"";True;2000;False;"arts";"individuals";"catalogue";""
10011;"REA0049889";"Quadri e commercio a Venezia durante il Seicento : uno studio sul mercato dell'arte";"Cecchini, Isabella";True;2000;False;"arts";"commerce; collecting; painting";"";"xvii"
20970;"RMG0292271";"Le ali di Venezia : nascita e sviluppo dell'aviazione nel Novecento lagunare";"Lando, Pietro";True;2013;True;"history";"industry";"";"recent"
15912;"RML0034027";"{Dispacci.} 21: 19 settembre 1778-17 agosto 1790";"";True;1992;True;"history";"politics";"primary";"xviii"
24690;"RML0053006";"S. Maria Formosa";"a cura di Maurizio Rosada";True;1972;True;"history";"churches";"primary";""
33296;"RML0091127";"Life and death in a Venetian convent: the chronicle and necrology of Corpus Domini, 1395-1436";"Riccoboni, Bartolomea";True;2000;False;"history";"churches; social";"primary";"middle ages"
4909;"RML0115522";"Venice and Venetia under the Habsburgs, 1815-1835";"Laven, David";True;2002;False;"history";"government";"";"xix"
14757;"RML0163921";"La caduta di Costantinopoli, 1204 : fonti bizantine e occidentali sulla Quarta crociata";"";True;2004;True;"history";"politics; war";"primary";"middle ages"
11526;"RML0169062";"I Bregno a Venezia : Antonio e Paolo Bregno e la scultura a Venezia nel primo Quattrocento";"Antoniutti, Arianna";True;2007;False;"arts";"crafts; individuals";"";"renaissance"
21871;"RML0179179";"Naviguer, commercer, gouverner : économie maritime et pouvoirs à Venise";"Judde de Lariviere, Claire";True;2008;True;"history";"economics; maritime; government";"";"renaissance"
