"Source";"Target";"Type";"Year"
17399;36464;"Directed";1986
17399;32296;"Directed";1986
17399;23533;"Directed";1986
17399;16924;"Directed";1986
17399;12301;"Directed";1986
17399;2951;"Directed";1986
17399;14933;"Directed";1986
17399;35882;"Directed";1986
17399;30599;"Directed";1986
17399;35289;"Directed";1986
17399;34394;"Directed";1986
17399;24726;"Directed";1986
17399;35597;"Directed";1986
17399;69;"Directed";1986
17399;3260;"Directed";1986
17399;25941;"Directed";1986
17399;8525;"Directed";1986
17399;24540;"Directed";1986
17399;32761;"Directed";1986
17399;18779;"Directed";1986
17399;32651;"Directed";1986
17399;7075;"Directed";1986
17399;24167;"Directed";1986
17399;394;"Directed";1986
17399;15935;"Directed";1986
17399;24773;"Directed";1986
17399;28592;"Directed";1986
17399;15636;"Directed";1986
17399;32691;"Directed";1986
17399;26577;"Directed";1986
17399;5354;"Directed";1986
17399;28302;"Directed";1986
17399;32695;"Directed";1986
17399;23038;"Directed";1986
17399;11841;"Directed";1986
17399;2740;"Directed";1986
17399;26296;"Directed";1986
17399;4169;"Directed";1986
17399;24801;"Directed";1986
17399;9292;"Directed";1986
17399;8293;"Directed";1986
17399;33827;"Directed";1986
17399;16573;"Directed";1986
17399;32412;"Directed";1986
17399;34470;"Directed";1986
17399;15396;"Directed";1986
17399;3344;"Directed";1986
17399;20144;"Directed";1986
17399;1903;"Directed";1986
17399;4531;"Directed";1986
17399;28693;"Directed";1986
17399;8575;"Directed";1986
17399;2785;"Directed";1986
17399;14818;"Directed";1986
17399;8320;"Directed";1986
17399;11000;"Directed";1986
17399;8040;"Directed";1986
17399;9808;"Directed";1986
17399;6984;"Directed";1986
17399;4097;"Directed";1986
17399;10529;"Directed";1986
17399;12152;"Directed";1986
17399;22187;"Directed";1986
17399;30154;"Directed";1986
17399;9253;"Directed";1986
17399;1944;"Directed";1986
17399;729;"Directed";1986
17399;27776;"Directed";1986
17399;6060;"Directed";1986
17399;30170;"Directed";1986
17399;36617;"Directed";1986
17399;35466;"Directed";1986
17399;11308;"Directed";1986
17399;11309;"Directed";1986
17399;29284;"Directed";1986
17399;3414;"Directed";1986
17399;37257;"Directed";1986
17399;25796;"Directed";1986
17399;22224;"Directed";1986
17399;19921;"Directed";1986
17399;3729;"Directed";1986
17399;13367;"Directed";1986
17399;8093;"Directed";1986
17399;17562;"Directed";1986
17399;20512;"Directed";1986
17399;4036;"Directed";1986
17399;25913;"Directed";1986
17399;8528;"Directed";1986
17399;25533;"Directed";1986
17399;19332;"Directed";1986
17399;21641;"Directed";1986
17399;33327;"Directed";1986
17399;19080;"Directed";1986
17399;36279;"Directed";1986
17399;14958;"Directed";1986
17399;405;"Directed";1986
17399;23767;"Directed";1986
17399;9023;"Directed";1986
17399;29041;"Directed";1986
17399;9025;"Directed";1986
17399;272;"Directed";1986
17399;18323;"Directed";1986
17399;8433;"Directed";1986
17399;29859;"Directed";1986
17399;1128;"Directed";1986
17399;13412;"Directed";1986
17399;6944;"Directed";1986
17399;24647;"Directed";1986
17399;12214;"Directed";1986
13897;12488;"Directed";1988
13897;26080;"Directed";1988
13897;17394;"Directed";1988
13897;14967;"Directed";1988
13897;11277;"Directed";1988
13897;14292;"Directed";1988
13897;25796;"Directed";1988
13897;1673;"Directed";1988
13897;9846;"Directed";1988
13897;22524;"Directed";1988
13897;1282;"Directed";1988
13897;14502;"Directed";1988
13897;9458;"Directed";1988
13897;18604;"Directed";1988
13897;9498;"Directed";1988
13897;6026;"Directed";1988
13897;32359;"Directed";1988
13897;23884;"Directed";1988
13897;6939;"Directed";1988
13897;18544;"Directed";1988
13897;11842;"Directed";1988
