"Source";"Target";"Type";"Weight"
13715;16973;"Undirected";2
1498;17668;"Undirected";4
21735;589;"Undirected";3
14194;19705;"Undirected";12
25971;9651;"Undirected";4
36776;31495;"Undirected";9
36396;25971;"Undirected";1
32140;29658;"Undirected";1
27012;5504;"Undirected";6
11914;12119;"Undirected";2
21857;19272;"Undirected";2
23492;2959;"Undirected";1
26420;22344;"Undirected";1
28740;26549;"Undirected";2
26933;23492;"Undirected";1
31165;21784;"Undirected";2
16973;25575;"Undirected";1
1498;21871;"Undirected";7
8785;25971;"Undirected";1
13266;23163;"Undirected";2
16012;9927;"Undirected";1
690;13364;"Undirected";1
22894;1145;"Undirected";2
15475;7422;"Undirected";7
6679;9242;"Undirected";2
25398;17925;"Undirected";1
30229;11526;"Undirected";1
17547;23418;"Undirected";1
5030;8391;"Undirected";1
20733;14531;"Undirected";3
1800;7984;"Undirected";23
1145;32562;"Undirected";7
30416;19523;"Undirected";4
18763;36507;"Undirected";1
13897;21535;"Undirected";3
22760;21380;"Undirected";2
20477;267;"Undirected";10
34791;9651;"Undirected";1
11914;13912;"Undirected";1
18391;29502;"Undirected";2
13818;29718;"Undirected";11
7516;11986;"Undirected";1
11179;26072;"Undirected";1
2474;5504;"Undirected";2
32514;20733;"Undirected";5
19760;5969;"Undirected";1
9603;28852;"Undirected";3
16744;9603;"Undirected";4
19685;36212;"Undirected";1
29423;23492;"Undirected";2
32585;4375;"Undirected";2
37064;1800;"Undirected";13
2474;4909;"Undirected";1
11914;34875;"Undirected";4
32585;16265;"Undirected";1
36776;21849;"Undirected";2
3077;11638;"Undirected";5
14887;14349;"Undirected";2
13465;32140;"Undirected";10
1800;14097;"Undirected";1
6437;19785;"Undirected";7
4303;26549;"Undirected";1
21577;34875;"Undirected";3
25715;5616;"Undirected";3
36163;20733;"Undirected";1
18684;6820;"Undirected";1
6103;1680;"Undirected";2
32289;24860;"Undirected";3
29129;28958;"Undirected";1
36710;23216;"Undirected";2
943;20970;"Undirected";1
12288;34959;"Undirected";5
35677;16544;"Undirected";1
11933;15640;"Undirected";2
7757;29539;"Undirected";1
28217;32690;"Undirected";1
17861;8258;"Undirected";2
13897;37312;"Undirected";1
17925;26754;"Undirected";2
3199;4576;"Undirected";2
24324;22311;"Undirected";1
24007;30798;"Undirected";1
30201;28293;"Undirected";5
4249;31943;"Undirected";5
31999;13665;"Undirected";1
32355;1534;"Undirected";3
26232;2643;"Undirected";1
35058;34819;"Undirected";1
14757;14722;"Undirected";2
32985;17418;"Undirected";1
30258;1680;"Undirected";1
20477;4293;"Undirected";2
22528;15477;"Undirected";1
24856;13473;"Undirected";1
30201;10287;"Undirected";2
29164;30182;"Undirected";2
16540;8855;"Undirected";1
11264;7730;"Undirected";1
25028;26857;"Undirected";1
23658;4189;"Undirected";1
25398;36710;"Undirected";1
19219;25971;"Undirected";6
7908;24178;"Undirected";1
30610;33886;"Undirected";1
1571;29658;"Undirected";1
5616;3192;"Undirected";7
29718;12922;"Undirected";1
36621;34795;"Undirected";1
26100;17925;"Undirected";1
13465;20122;"Undirected";1
11675;13364;"Undirected";9
26140;12256;"Undirected";1
11738;6369;"Undirected";1
13912;28293;"Undirected";2
16924;7984;"Undirected";8
6679;7578;"Undirected";1
13293;35580;"Undirected";2
1258;29465;"Undirected";6
7012;37312;"Undirected";1
26140;6633;"Undirected";1
1534;26895;"Undirected";1
36507;3512;"Undirected";2
21350;6369;"Undirected";2
24098;31918;"Undirected";2
22760;5616;"Undirected";7
13465;16876;"Undirected";1
33247;26651;"Undirected";2
21135;8258;"Undirected";1
13715;1145;"Undirected";2
33482;13238;"Undirected";4
36353;22311;"Undirected";1
3192;644;"Undirected";7
14831;9927;"Undirected";1
19288;13364;"Undirected";1
17925;24860;"Undirected";1
11559;12520;"Undirected";46
4249;4597;"Undirected";1
9130;13668;"Undirected";1
4306;25715;"Undirected";1
31050;5734;"Undirected";5
17418;33361;"Undirected";1
30613;23163;"Undirected";1
13668;36511;"Undirected";1
15999;13238;"Undirected";1
8783;267;"Undirected";5
36353;13947;"Undirected";3
2580;30057;"Undirected";1
5697;36271;"Undirected";4
17762;29964;"Undirected";1
6041;22694;"Undirected";4
25028;3077;"Undirected";2
26232;23216;"Undirected";2
33247;11821;"Undirected";2
5697;31999;"Undirected";2
35643;26671;"Undirected";1
35231;13668;"Undirected";1
14621;36507;"Undirected";3
6536;21849;"Undirected";2
908;8258;"Undirected";1
37064;15999;"Undirected";2
572;3499;"Undirected";2
19736;32502;"Undirected";1
14112;29332;"Undirected";4
31185;9757;"Undirected";2
29539;1490;"Undirected";1
31760;30416;"Undirected";1
35794;3512;"Undirected";2
26194;11980;"Undirected";1
24304;13979;"Undirected";1
32896;874;"Undirected";2
30469;13364;"Undirected";13
21350;10528;"Undirected";6
36710;14112;"Undirected";8
33207;13940;"Undirected";3
25796;10456;"Undirected";1
33388;26232;"Undirected";4
1258;24965;"Undirected";6
31341;25641;"Undirected";1
24952;6509;"Undirected";1
19785;18759;"Undirected";1
22894;11490;"Undirected";1
15850;19425;"Undirected";4
37368;32895;"Undirected";9
2959;28618;"Undirected";1
3058;15067;"Undirected";1
24304;30613;"Undirected";1
25321;29465;"Undirected";1
26140;16008;"Undirected";7
8855;9647;"Undirected";1
32562;33886;"Undirected";5
28740;6929;"Undirected";1
20733;267;"Undirected";3
12256;5049;"Undirected";4
17184;36165;"Undirected";1
36344;27832;"Undirected";2
24618;13372;"Undirected";1
13408;14112;"Undirected";1
9130;26232;"Undirected";3
7523;35372;"Undirected";1
23361;9863;"Undirected";2
8984;9863;"Undirected";1
8855;20266;"Undirected";3
17762;22445;"Undirected";1
32289;10030;"Undirected";4
17418;7173;"Undirected";2
1282;30697;"Undirected";1
29279;35794;"Undirected";3
13818;18904;"Undirected";1
21432;34695;"Undirected";5
9927;17668;"Undirected";1
18759;22445;"Undirected";3
25249;9420;"Undirected";13
28124;25363;"Undirected";1
1498;8258;"Undirected";5
11980;5616;"Undirected";1
30528;29052;"Undirected";4
23297;18759;"Undirected";7
4249;33207;"Undirected";7
27012;32964;"Undirected";2
13818;8215;"Undirected";6
6679;35146;"Undirected";2
2776;2364;"Undirected";1
29129;13967;"Undirected";1
13818;11738;"Undirected";1
13897;15565;"Undirected";1
1800;4293;"Undirected";2
32964;20294;"Undirected";1
23999;23163;"Undirected";2
24796;8783;"Undirected";1
21849;19523;"Undirected";1
25796;13940;"Undirected";1
33247;13665;"Undirected";4
13424;16673;"Undirected";1
21577;3499;"Undirected";3
17925;11322;"Undirected";1
21971;8785;"Undirected";1
7516;2922;"Undirected";1
29433;24860;"Undirected";1
33247;24796;"Undirected";1
120;7730;"Undirected";1
32355;34959;"Undirected";2
1295;12520;"Undirected";4
19785;28852;"Undirected";1
12288;30201;"Undirected";1
14831;15912;"Undirected";2
32289;19705;"Undirected";2
31185;22760;"Undirected";3
4303;31495;"Undirected";3
9651;19419;"Undirected";9
35374;30613;"Undirected";2
16973;36010;"Undirected";1
37064;9831;"Undirected";2
2580;11322;"Undirected";1
34969;1534;"Undirected";1
33482;33361;"Undirected";2
3199;7674;"Undirected";3
30258;14176;"Undirected";1
26232;35580;"Undirected";4
13465;30528;"Undirected";5
34695;12520;"Undirected";4
8785;21463;"Undirected";4
3055;249;"Undirected";2
614;16544;"Undirected";2
23216;7991;"Undirected";1
25028;24324;"Undirected";1
37064;28475;"Undirected";5
33900;25641;"Undirected";4
36507;27103;"Undirected";1
17861;10011;"Undirected";8
19219;21784;"Undirected";1
37064;27832;"Undirected";6
30697;17668;"Undirected";4
11473;22760;"Undirected";1
